x,u
4.402488802003303725e+00,7.344854550091695078e-01
4.412819041513616369e+00,7.013530149552292814e-01
4.431199796611791086e+00,6.496732616436549090e-01
4.495113878775960359e+00,4.929608177828575521e-01
4.497408994059600928e+00,4.830577025664242186e-01
4.511220635179556737e+00,4.495629257370821197e-01
4.538673066639885789e+00,3.849050682918676025e-01
4.564095372508500503e+00,3.265472814554478687e-01
4.572092898108028436e+00,3.030780814234940723e-01
4.641635659073364728e+00,1.553290292784910986e-01
4.649178600719134913e+00,1.347141150099319673e-01
4.668755098470438902e+00,9.195296304939863663e-02
4.717691554037497959e+00,-9.314671197993805440e-03
4.726983861323526881e+00,-3.414277568241686628e-02
4.781101255093206603e+00,-1.469830559664773717e-01
4.817625791299937177e+00,-2.281102364604413735e-01
4.861703819362023893e+00,-3.265952934628377768e-01
4.884612351546524067e+00,-3.856948953664105506e-01
5.008265537248540511e+00,-6.860813612785908733e-01
5.024547368042431295e+00,-7.353272845700800087e-01
5.034087904168288219e+00,-7.662636700202251072e-01
5.123211482442637354e+00,-1.013513163855523480e+00
5.181481465277204990e+00,-1.186751110669070242e+00
5.181507070764958200e+00,-1.192755516132968818e+00
5.219975624998310693e+00,-1.305598175412135520e+00
5.232604036334072006e+00,-1.344778443116691369e+00
5.246144550143192475e+00,-1.385325992914975046e+00
5.255456062043431409e+00,-1.413305116046149834e+00
5.258779333009477419e+00,-1.424895779965295928e+00
5.293495036984352531e+00,-1.525052785346834305e+00
5.307027151170371937e+00,-1.565060214486340806e+00
5.319665928146074307e+00,-1.602053300227823440e+00
5.350000697952841833e+00,-1.685361994363335336e+00
5.365728133164182623e+00,-1.728832047689339291e+00
5.404616958866338194e+00,-1.827470780140203699e+00
5.439683715523184304e+00,-1.910890582735510268e+00
5.507863851427982738e+00,-2.042026166882221272e+00
5.560790367569234505e+00,-2.115293261113346368e+00
5.566698457509057008e+00,-2.122693685012154496e+00
5.623553269870957827e+00,-2.165386119303754242e+00
5.723065589499062966e+00,-2.141452133570376670e+00
5.725987426519290047e+00,-2.129947011291707604e+00
5.777120874913455495e+00,-2.060858816987446218e+00
5.806003336176551954e+00,-2.004620431404164460e+00
5.867558087668539812e+00,-1.850070418220612689e+00
5.878049666414016272e+00,-1.814939712092315638e+00
5.878178404092126996e+00,-1.812651051276807257e+00
5.887771784468270653e+00,-1.781790718074436120e+00
5.930176192507081723e+00,-1.634598848251407777e+00
5.930863030353333620e+00,-1.629198400010826830e+00
5.951336599737444111e+00,-1.548898111835629754e+00
5.977784956642526737e+00,-1.437088677581714435e+00
6.032391704613339733e+00,-1.185122468862506384e+00
6.054623607860038170e+00,-1.070882409374424915e+00
6.077848458755467753e+00,-9.497532508902395421e-01
6.092966575526350681e+00,-8.681566657877113347e-01
6.106664109023033582e+00,-7.930707293274579239e-01
6.161242914476845023e+00,-4.858373568214901517e-01
6.165419080404336505e+00,-4.599109724494265805e-01
6.167844221565357721e+00,-4.447726025357579549e-01
6.177214773666791281e+00,-3.900481851406252809e-01
6.195685308667465030e+00,-2.809544816435801673e-01
6.232620707005563254e+00,-6.197391451410414615e-02
6.245600496257909029e+00,1.575339170638487274e-02
6.246045411718541551e+00,1.867860931909132508e-02
6.254069209920448458e+00,6.656920956389576760e-02
6.269241810653020330e+00,1.570116159265243783e-01
6.272298604377626319e+00,1.754566803571826206e-01
6.294820974556209592e+00,3.088509388856612858e-01
6.315402097768547662e+00,4.316276534429604461e-01
6.395933847898251479e+00,8.885118450859244010e-01
6.412144580875784428e+00,9.752938841110204704e-01
6.417608793697819003e+00,1.003895664556894385e+00
6.428148177588871803e+00,1.059529452064601696e+00
6.429476433563273474e+00,1.066145742121610507e+00
6.443062303610575192e+00,1.136192908577108973e+00
6.448308519469399869e+00,1.162894787620691206e+00
6.464609349551542650e+00,1.245172000674240609e+00
6.550855597207290160e+00,1.628013015437462574e+00
6.700447337942707193e+00,2.081399322878163538e+00
6.727440894887203982e+00,2.125650428345767118e+00
6.739488461339058212e+00,2.143138285021784828e+00
6.748741925829927268e+00,2.155988874384715537e+00
6.755336609753414656e+00,2.164465342394697789e+00
6.778312860278467689e+00,2.189411253338807928e+00
6.796296634578482099e+00,2.204705332952212604e+00
6.851306878785730525e+00,2.223184590071918265e+00
6.869552367794290682e+00,2.218524544044814917e+00
6.905348665234640748e+00,2.201437613683577155e+00
6.921904632562221771e+00,2.188435823728320795e+00
6.927515158115923555e+00,2.184918506073091127e+00
6.989032561600880378e+00,2.107289861193111680e+00
7.007041488593555023e+00,2.075890143643541741e+00
7.021218275055546520e+00,2.050481239376853448e+00
7.039960599239422301e+00,2.016959331208795891e+00
7.117787950177517864e+00,1.838914141096646304e+00
7.141958790571465876e+00,1.775564718987713064e+00
7.156450129686736439e+00,1.738010662679234430e+00
7.175024858589677201e+00,1.688505224127337057e+00
7.245275031292422341e+00,1.484710385112254727e+00
7.257368532342736600e+00,1.450357605054331200e+00
7.262918269816122319e+00,1.435888857842613220e+00
7.322460164001063809e+00,1.255605348382496711e+00
7.339097828454889338e+00,1.207956023293601300e+00
7.351665116576664438e+00,1.171787732006531968e+00
7.369616290476254328e+00,1.119408293258947973e+00
7.392579603322258386e+00,1.053605357223100780e+00
7.439115926299705528e+00,9.197864083219597919e-01
7.473622150267281938e+00,8.246718853131093097e-01
7.484241179936454991e+00,7.973947642078695885e-01
7.488454379565371966e+00,7.877005840017603511e-01
7.503120736586642359e+00,7.503151279127869833e-01
7.552660760136642004e+00,6.202808995560349370e-01
7.552672496321499729e+00,6.275640357319762774e-01
7.650970391478692179e+00,3.934271735954572580e-01
7.701976235971664586e+00,2.895323072937968090e-01
7.741831596252821690e+00,2.094760975515945201e-01
7.756553830255164428e+00,1.840427043843306798e-01
7.790263516508904473e+00,1.170642945542199748e-01
7.796057452143233313e+00,1.119993341929664682e-01
7.860450032301386614e+00,-8.669850245812496872e-03
7.957153754663279344e+00,-1.988671548081744067e-01
7.980899309576936496e+00,-2.403818051902371633e-01
8.015949332821465489e+00,-3.115778216965315872e-01
8.047356332353144737e+00,-3.775604474556816803e-01
8.068731662467927279e+00,-4.234902543650979068e-01
8.084968623076376204e+00,-4.578125389936640310e-01
8.116404515843480993e+00,-5.317762637222365196e-01
8.126159118402325632e+00,-5.537994054700023927e-01
8.132524372110793820e+00,-5.677989945165602403e-01
8.149719350703115595e+00,-6.099186024669553952e-01
8.157668206470168215e+00,-6.248434425384102875e-01
8.224169643114141337e+00,-8.016915479242295861e-01
8.233679659404792517e+00,-8.232576193052797420e-01
8.269034944820534250e+00,-9.207635220967957945e-01
8.305966507740537352e+00,-1.024847917685092202e+00
8.353996626571937867e+00,-1.165600146232202539e+00
8.374934518275754414e+00,-1.221168667654892515e+00
8.542716945922895988e+00,-1.716119209170116289e+00
8.615238648200790550e+00,-1.902191445539970882e+00
8.628120253929749239e+00,-1.928403039457361245e+00
8.644181634582075446e+00,-1.964667993059163953e+00
8.657213170143332803e+00,-1.993793473496286106e+00
8.804986750981543153e+00,-2.204556453492052537e+00
8.830668772907504405e+00,-2.216890440125255601e+00
8.876210681211043507e+00,-2.219863369941498465e+00
8.883471093362995674e+00,-2.219816356162520155e+00
8.935230136606174156e+00,-2.185536767579770334e+00
8.985210971017282944e+00,-2.117480491635918671e+00
9.008097883777626436e+00,-2.075612372477189549e+00
9.042605211304628909e+00,-1.999777396357558690e+00
9.161107281360395760e+00,-1.610529367942395540e+00
9.179382764821831131e+00,-1.535330118759219653e+00
9.182558208985321713e+00,-1.523061838169368354e+00
9.214337634700605406e+00,-1.383394368367523164e+00
9.276027280601789826e+00,-1.080082840574694059e+00
9.332146709974344034e+00,-7.767690965385213309e-01
9.343838808996784095e+00,-7.114862110868476197e-01
9.403176960111464311e+00,-3.685563626722877517e-01
9.445139286773780896e+00,-1.190209896816996210e-01
9.454727188859997966e+00,-5.876773117234865285e-02
9.545678836364846376e+00,4.760548949327088053e-01
9.580825216860384685e+00,6.779120231452578915e-01
9.592517840785459882e+00,7.442834193907736928e-01
9.594209192358938765e+00,7.538790965561043000e-01
9.598262725514230098e+00,7.765922786690404589e-01
9.611422107648495583e+00,8.487964252798327891e-01
9.629388865772344985e+00,9.451600251555342114e-01
9.632865614019564759e+00,9.669081085400885733e-01
9.678513194383960183e+00,1.200000866954273215e+00
9.807549947822275627e+00,1.738615549855237807e+00
9.841646452265948142e+00,1.849376383487007169e+00
9.883973617976732129e+00,1.962715371761959426e+00
9.886025378486460014e+00,1.967868866850088772e+00
9.896282411770691567e+00,1.991876560271827357e+00
9.917922495922118387e+00,2.036610293130580285e+00
9.948104975101806247e+00,2.087005017697045606e+00
9.949224595199893884e+00,2.092716073862131321e+00
1.000781120030694460e+01,2.152133345390359498e+00
1.001706969066467146e+01,2.160609890864420013e+00
1.009469942764547667e+01,2.159835355334781326e+00
1.010634544931900258e+01,2.151383454614138380e+00
1.015781590665697287e+01,2.103678518389902052e+00
1.016963312980050738e+01,2.087825699797198897e+00
1.017310426541923718e+01,2.082610344373487354e+00
1.020819182383901769e+01,2.028445597718240290e+00
1.022863837765176598e+01,1.991361611170035628e+00
1.022994815919396849e+01,1.987645370784122179e+00
1.033512518930049495e+01,1.746730185140764391e+00
1.042598957173894725e+01,1.496693426045130115e+00
1.044126623865463266e+01,1.445886682178785687e+00
1.048344775217966252e+01,1.321282487378961923e+00
1.051179061797925307e+01,1.235140767858252886e+00
1.053862312181897387e+01,1.154111927731937159e+00
1.056971182018554956e+01,1.062457972179366994e+00
1.058575969745025169e+01,1.009323010891533867e+00
1.066794025440821692e+01,7.818746164226325623e-01
1.069050081228552607e+01,7.177281273961757524e-01
1.070778830113921920e+01,6.684291324993009153e-01
1.075738871126690199e+01,5.424911101260437851e-01
1.079467568153996204e+01,4.507726598898902370e-01
1.081131577388035225e+01,4.096877370569736443e-01
1.082285385237849340e+01,3.768244287640180601e-01
1.091141169048120751e+01,1.848754105404787906e-01
1.092716667028675737e+01,1.469957995080449220e-01
1.094478165610590459e+01,1.065849245499877473e-01
1.100479903659953607e+01,-1.605902839073754598e-02
1.100696988617442962e+01,-2.445248038082999120e-02
1.101622824784096011e+01,-4.355192904505992418e-02
1.101797628645757143e+01,-4.887613654320226153e-02
1.103265109022254009e+01,-7.958787836399046356e-02
1.104803758077330933e+01,-1.123620105511875661e-01
1.105935552270614686e+01,-1.375744679601891562e-01
1.107316677743839684e+01,-1.696923061558130441e-01
1.113097407635469693e+01,-2.930771368467992577e-01
1.114622479721616166e+01,-3.316940955490865761e-01
1.118176344208378836e+01,-4.122602923109642825e-01
1.118680427686002332e+01,-4.273658449905678447e-01
1.120952871482149682e+01,-4.812062667586949338e-01
1.122460777419088629e+01,-5.193016465072847199e-01
1.124239116983530096e+01,-5.645965683444874594e-01
1.126719387432704877e+01,-6.307476763088699645e-01
1.134507953003754821e+01,-8.349106397772046995e-01
1.136283642052467968e+01,-8.904520706341803038e-01
1.138859253563695262e+01,-9.662511658824539662e-01
1.144954360940294436e+01,-1.143858841839770379e+00
1.149448434201164737e+01,-1.277947432814222184e+00
1.149530449324640635e+01,-1.283571767720889545e+00
1.150246159400614054e+01,-1.305199911756850906e+00
1.151463958983347879e+01,-1.341895358602798849e+00
1.153639111744956303e+01,-1.405874616355400120e+00
1.153879071485200036e+01,-1.414322015308219438e+00
1.154532853952021476e+01,-1.434334069973742354e+00
1.156900721201331805e+01,-1.503875400401945450e+00
1.159938567571203372e+01,-1.594416595294231076e+00
1.167441552854274178e+01,-1.793691790121033192e+00
1.170582459489075866e+01,-1.870105314416875109e+00
1.170661983496639458e+01,-1.873065021725983437e+00
1.173136789434384397e+01,-1.927597273700808911e+00
1.174128728732742033e+01,-1.949153129301133935e+00
1.176927430027686583e+01,-2.003702713695465043e+00
1.179902598626963872e+01,-2.054461170206014042e+00
1.180331401336346886e+01,-2.060913852453853057e+00
1.180699758274526801e+01,-2.066777308245420830e+00
1.182566237595743708e+01,-2.092586016187965026e+00
1.183785319921972246e+01,-2.107550914936849207e+00
1.184631414762512236e+01,-2.117044343503205361e+00
1.185208453314034927e+01,-2.123114797089818317e+00
1.186588277367277300e+01,-2.136013809080259840e+00
1.189111070335505715e+01,-2.154017311436497994e+00
1.193172642894377589e+01,-2.166450186568399161e+00
1.196087667804667021e+01,-2.163189209637720989e+00
1.202483542673018846e+01,-2.115923975482955743e+00
1.203746475343086075e+01,-2.096576700715998332e+00
1.204081356484149268e+01,-2.090188493470471087e+00
1.204750480266146617e+01,-2.080938182322264574e+00
1.209169241910472792e+01,-2.000196845191149375e+00
1.210490020004797174e+01,-1.967670689485318425e+00
1.220779175718863563e+01,-1.655881538682001164e+00
1.225207754665405169e+01,-1.477155636395887317e+00
1.229891086547827861e+01,-1.266051684487132789e+00
1.234472205468334138e+01,-1.038841168808831927e+00
1.237636637270202300e+01,-8.713500861436810352e-01
1.238730625003107733e+01,-8.101205466652416920e-01
1.244462839776027963e+01,-4.914731394574201606e-01
1.245023618110452546e+01,-4.555381521950460089e-01
1.248346587291647047e+01,-2.650568741066240963e-01
1.249325649640072911e+01,-2.078394235866913853e-01
1.249741024869393335e+01,-1.826609674308652953e-01
1.252875723185735168e+01,-4.812765918429995349e-03
1.254358102130479935e+01,6.822556819035288656e-02
